"digest","id","packageId","transactionModule","sender","type","parsedJson","timestampMs","dateKey","checkpoint","gasUsed"
"JDzpx86xCu3ZTHjZ24QoTNEmaBEKdg7XLMBkM4v15G7A","{txdigest=JDzpx86xCu3ZTHjZ24QoTNEmaBEKdg7XLMBkM4v15G7A, eventseq=0}","0x2eeaab737b37137b94bfa8f841f92e36a153641119da3456dec1926b9960d9be","pool_script","0xcf9a15659c690298ebf99dbe8870cf44fbe3c888442a70325b7244a3a57ec091","0x1eabed72c53feb3805120a081dc15963c204dc8d091542592abaf7a35689b2fb::pool::SwapEvent","{""amount_in"":""1803202386"",""pool"":""0x5b0b24c27ccf6d0e98f3a8704d2e577de83fa574d3a9060eb8945eeb82b3e2df"",""after_sqrt_price"":""78244698214973847899"",""atob"":false,""steps"":""1"",""amount_out"":""100000145"",""fee_amount"":""4508006"",""ref_amount"":""0"",""partner"":""0x0000000000000000000000000000000000000000000000000000000000000000"",""vault_b_amount"":""639626507945"",""before_sqrt_price"":""78224225052755445446"",""vault_a_amount"":""40041436402""}","1684736748398","2023-05-22","3123339","{computationcost=6170000, storagecost=11377200, storagerebate=10932372, nonrefundablestoragefee=110428}"
"BBPA6gq3ha6ar7dFL3PwTQCZSnq8FxV3mo5WBjrJnJkh","{txdigest=BBPA6gq3ha6ar7dFL3PwTQCZSnq8FxV3mo5WBjrJnJkh, eventseq=0}","0x2eeaab737b37137b94bfa8f841f92e36a153641119da3456dec1926b9960d9be","router","0x29965b00e3eee2395b40bfebcbc40a9a3761d0e3d58158ff85faaf182b69273b","0x1eabed72c53feb3805120a081dc15963c204dc8d091542592abaf7a35689b2fb::pool::SwapEvent","{""amount_in"":""1000000000000"",""pool"":""0xcf994611fd4c48e277ce3ffd4d4364c914af2c3cbb05f7bf6facd371de688630"",""after_sqrt_price"":""646354425982000746172"",""atob"":false,""steps"":""1"",""amount_out"":""812537577"",""fee_amount"":""2500000000"",""ref_amount"":""0"",""partner"":""0x0000000000000000000000000000000000000000000000000000000000000000"",""vault_b_amount"":""1209522141208786"",""before_sqrt_price"":""646305969760395077064"",""vault_a_amount"":""1136321781108""}","1687319753140","2023-06-21","5665050","{computationcost=16400000, storagecost=20527600, storagerebate=18998100, nonrefundablestoragefee=191900}"
"BBPA6gq3ha6ar7dFL3PwTQCZSnq8FxV3mo5WBjrJnJkh","{txdigest=BBPA6gq3ha6ar7dFL3PwTQCZSnq8FxV3mo5WBjrJnJkh, eventseq=1}","0x2eeaab737b37137b94bfa8f841f92e36a153641119da3456dec1926b9960d9be","router","0x29965b00e3eee2395b40bfebcbc40a9a3761d0e3d58158ff85faaf182b69273b","0x1eabed72c53feb3805120a081dc15963c204dc8d091542592abaf7a35689b2fb::pool::SwapEvent","{""amount_in"":""812537577"",""pool"":""0x238f7e4648e62751de29c982cbf639b4225547c31db7bd866982d7d56fc2c7a8"",""after_sqrt_price"":""3197906627038695646663"",""atob"":true,""steps"":""2"",""amount_out"":""24428134866268"",""fee_amount"":""2031345"",""ref_amount"":""0"",""partner"":""0x0000000000000000000000000000000000000000000000000000000000000000"",""vault_b_amount"":""9055301102437796"",""before_sqrt_price"":""3205795161928108810350"",""vault_a_amount"":""233978403399""}","1687319753140","2023-06-21","5665050","{computationcost=16400000, storagecost=20527600, storagerebate=18998100, nonrefundablestoragefee=191900}"
"GDHB3gjDPtPACKa1n7KhMxJApF6THKuZCpTWxvtzRjvb","{txdigest=GDHB3gjDPtPACKa1n7KhMxJApF6THKuZCpTWxvtzRjvb, eventseq=0}","0x2eeaab737b37137b94bfa8f841f92e36a153641119da3456dec1926b9960d9be","pool_script","0x790c8a7fc2cc6081efa98aa67c6044b05590e6f3bb2aae164cd0279d9e867578","0x1eabed72c53feb3805120a081dc15963c204dc8d091542592abaf7a35689b2fb::pool::SwapEvent","{""amount_in"":""800000000000"",""pool"":""0xcf994611fd4c48e277ce3ffd4d4364c914af2c3cbb05f7bf6facd371de688630"",""after_sqrt_price"":""538815100052963675320"",""atob"":false,""steps"":""1"",""amount_out"":""935361947"",""fee_amount"":""2000000000"",""ref_amount"":""0"",""partner"":""0x0000000000000000000000000000000000000000000000000000000000000000"",""vault_b_amount"":""2321574484037301"",""before_sqrt_price"":""538794160497506153850"",""vault_a_amount"":""2036043501085""}","1684301233272","2023-05-17","2695559","{computationcost=4575000, storagecost=10176400, storagerebate=10721700, nonrefundablestoragefee=108300}"
"77zU5ToZV4QqQfFNDrsy5xLruBSHhffzRneNmLJhV3ty","{txdigest=77zU5ToZV4QqQfFNDrsy5xLruBSHhffzRneNmLJhV3ty, eventseq=2}","0x91bfbc386a41afcfd9b2533058d7e915a1d3829089cc268ff4333d54d6339ca1","swap_router","0x5bc0a22277930c3e406048683319cd3bdbbe7b23b2a5a3d19070a85ee9d9c83c","0x91bfbc386a41afcfd9b2533058d7e915a1d3829089cc268ff4333d54d6339ca1::pool::SwapEvent","{""protocol_fee"":""537000"",""pool"":""0x2dcda1388d7949201927e3af14e4c6bd10cf4ac3d7ab91230606bed8c2ef9c17"",""liquidity"":""720973356680"",""a_to_b"":true,""tick_current_index"":{""bits"":""4294899320""},""sqrt_price"":""616474501246758746"",""fee_amount"":""1790000"",""is_exact_in"":true,""recipient"":""0x5bc0a22277930c3e406048683319cd3bdbbe7b23b2a5a3d19070a85ee9d9c83c"",""amount_b"":""20006026"",""amount_a"":""17900000000"",""tick_pre_index"":{""bits"":""4294899336""}}","1705054956276","2024-01-12","23353012","{computationcost=2910000, storagecost=43532800, storagerebate=52645428, nonrefundablestoragefee=531772}"
"2EzS8LqUTnenXztCkAhtVCwdpGkhYQ5dgJmjCTApn4xC","{txdigest=2EzS8LqUTnenXztCkAhtVCwdpGkhYQ5dgJmjCTApn4xC, eventseq=2}","0xa2ce75c54b8ee30b15b235faf8c6c01407bf90cf3fbcec5d84b04ec25400131a","jk","0x0228306dfb1712d129aa2cc9e0e457c99415ed3a0125fe2c83084c1bff082cb1","0x361dd589b98e8fcda9a7ee53b85efabef3569d00416640d2faa516e3801d7ffc::pool::SwapTokenEvent<0x2::sui::SUI, 0x5d4b302506645c37ff133b98c4b50a5ae14841659738d6d733d59d0d217a93bf::coin::COIN>","{""pool_index"":""1"",""out_amount"":""20015491194"",""x_to_y"":false,""in_amount"":""17054587""}","1704410698549","2024-01-04","22704892","{computationcost=1240000, storagecost=49050400, storagerebate=53442972, nonrefundablestoragefee=539828}"
"SpdtxapYnjwpFkSFYFUkqFJCgwok9z18FUx4oZMQwjT","{txdigest=SpdtxapYnjwpFkSFYFUkqFJCgwok9z18FUx4oZMQwjT, eventseq=0}","0x91bfbc386a41afcfd9b2533058d7e915a1d3829089cc268ff4333d54d6339ca1","swap_router","0x7cc0113dd08ce571baed6aabd262879de5d75bf7e1088b2012cad42386d382f3","0x91bfbc386a41afcfd9b2533058d7e915a1d3829089cc268ff4333d54d6339ca1::pool::SwapEvent","{""protocol_fee"":""3856101776"",""pool"":""0x2c6fc12bf0d093b5391e7c0fed7e044d52bc14eb29f6352a3fb358e33e80729e"",""liquidity"":""1251354378700781"",""a_to_b"":true,""tick_current_index"":{""bits"":""4294906627""},""sqrt_price"":""888349231832097536"",""fee_amount"":""12853672589"",""is_exact_in"":true,""recipient"":""0x7cc0113dd08ce571baed6aabd262879de5d75bf7e1088b2012cad42386d382f3"",""amount_b"":""9908332116"",""amount_a"":""4284557529542"",""tick_pre_index"":{""bits"":""4294906630""}}","1692856931405","2023-08-24","11155806","{computationcost=1510000, storagecost=7341600, storagerebate=12264120, nonrefundablestoragefee=123880}"
"4ZzzzF8yuTzTVkykdVztaAw7i5Bj7Nji59WdoTuvHuF8","{txdigest=4ZzzzF8yuTzTVkykdVztaAw7i5Bj7Nji59WdoTuvHuF8, eventseq=0}","0x996c4d9480708fb8b92aa7acf819fb0497b5ec8e65ba06601cae2fb6db3312c3","router","0x836be6068d8258a69df1937dd7b82ae7be275cc84c119c9f7b7e6a25ed8608e7","0x1eabed72c53feb3805120a081dc15963c204dc8d091542592abaf7a35689b2fb::pool::SwapEvent","{""amount_in"":""140178"",""pool"":""0x06d8af9e6afd27262db436f0d37b304a041f710c3ea1fa4c3a9bab36b3569ad3"",""after_sqrt_price"":""754520515614701525521"",""atob"":true,""steps"":""1"",""amount_out"":""233936562"",""fee_amount"":""351"",""ref_amount"":""0"",""partner"":""0x0000000000000000000000000000000000000000000000000000000000000000"",""vault_b_amount"":""19076445021975"",""before_sqrt_price"":""754528165048753158014"",""vault_a_amount"":""10804232795""}","1692856931405","2023-08-24","11155806","{computationcost=755000, storagecost=9560800, storagerebate=11421432, nonrefundablestoragefee=115368}"
"6o6s961WrGxKQbSEFzFfycTvz4bTkvuAY8mgJRXzrLVJ","{txdigest=6o6s961WrGxKQbSEFzFfycTvz4bTkvuAY8mgJRXzrLVJ, eventseq=0}","0x996c4d9480708fb8b92aa7acf819fb0497b5ec8e65ba06601cae2fb6db3312c3","router","0xb47b11e8d38423c616356c4216c438ead5a10bd0bdc4c2df67026f0a0242b633","0x1eabed72c53feb3805120a081dc15963c204dc8d091542592abaf7a35689b2fb::pool::SwapEvent","{""amount_in"":""200000"",""pool"":""0xc8d7a1503dc2f9f5b05449a87d8733593e2f0f3e7bffd90541252782e4d2ca20"",""after_sqrt_price"":""18444090451326174233"",""atob"":false,""steps"":""1"",""amount_out"":""200037"",""fee_amount"":""20"",""ref_amount"":""0"",""partner"":""0x0000000000000000000000000000000000000000000000000000000000000000"",""vault_b_amount"":""1334361891808"",""before_sqrt_price"":""18444090450716463945"",""vault_a_amount"":""1676694958934""}","1692856931405","2023-08-24","11155806","{computationcost=755000, storagecost=12258800, storagerebate=11805156, nonrefundablestoragefee=119244}"
"GShjBsraLFg7Uw49a8kG3Xr2JousjRhYsnX4A4vrcnrW","{txdigest=GShjBsraLFg7Uw49a8kG3Xr2JousjRhYsnX4A4vrcnrW, eventseq=0}","0xa0eba10b173538c8fecca1dff298e488402cc9ff374f8a12ca7758eebe830b66","spot_dex","0x8b0eaeb115dbc6c2100774cbc136899b855111cfe7f6b9785df1bb51894dd246","0xa0eba10b173538c8fecca1dff298e488402cc9ff374f8a12ca7758eebe830b66::spot_dex::SwapEvent<0x5d4b302506645c37ff133b98c4b50a5ae14841659738d6d733d59d0d217a93bf::coin::COIN>","{""amount_out"":""7996506"",""amount_in"":""4796"",""reserve_y"":""755678810129843"",""reserve_x"":""452320887940"",""pool_id"":""0x5af4976b871fa1813362f352fa4cada3883a96191bb7212db1bd5d13685ae305"",""user"":""0x8b0eaeb115dbc6c2100774cbc136899b855111cfe7f6b9785df1bb51894dd246""}","1692856931405","2023-08-24","11155806","{computationcost=755000, storagecost=5874800, storagerebate=5816052, nonrefundablestoragefee=58748}"
